method,imp_id,syn_id,variable,cosine,js,wasserstein
ecdf,1.0,6.0,sbp_bin1,0.25750662145670056,0.03871342823087073,0.002853039106874719
ecdf,1.0,6.0,sbp_bin2,0.16054666298765807,0.03533923492578881,0.002462263677849651
ecdf,1.0,6.0,sbp_bin3,0.11884199417682861,0.03425333011211799,0.04865768519296418
ecdf,1.0,6.0,sbp_bin4,0.14574975529503698,0.03753597166595459,0.0021058607266435984
ecdf,1.0,6.0,sbp_bin5,0.09621890690719892,0.029930281936080452,0.0027219560524058832
ecdf,1.0,6.0,sbp_bin6,0.09778183965531795,0.035876240304924596,0.044354658271977224
ecdf,1.0,6.0,sbp_bin7,0.09482323426628214,0.03621397270994504,0.049660998300248685
ecdf,1.0,6.0,sbp_bin8,0.13517299951181683,0.017184942036503472,0.030857241727523174
ecdf,1.0,6.0,sbp_bin9,0.11116205667123347,0.02347060035771874,0.0017713446527721896
ecdf,1.0,6.0,sbp_bin10,0.0879062459693356,0.02123023210892699,0.0015226044281611154
ecdf,1.0,6.0,dbp_bin1,0.21770385607220255,0.061499446435318295,0.006028045893279911
ecdf,1.0,6.0,dbp_bin2,0.10990743669002656,0.03881271256571332,0.03374553292869685
ecdf,1.0,6.0,dbp_bin3,0.017128464144179123,0.03149081879586118,0.02731552883398878
ecdf,1.0,6.0,dbp_bin4,0.1100884715234115,0.03228054220499879,0.010994667876793908
ecdf,1.0,6.0,dbp_bin5,0.09380340100362172,0.01606038151363598,0.0016834493215660377
ecdf,1.0,6.0,dbp_bin6,0.10059607798337455,0.027449240442610948,0.04587049425434623
ecdf,1.0,6.0,dbp_bin7,0.08592832070493595,0.03715565774419538,0.04290453235089968
ecdf,1.0,6.0,dbp_bin8,0.05966316155869855,0.022593582761949005,0.0024143319566915914
ecdf,1.0,6.0,dbp_bin9,0.08065901214622107,0.02503514020455322,0.002718505702934766
ecdf,1.0,6.0,dbp_bin10,0.0924505292411193,0.03790434216632396,0.015347094499344465
ecdf,1.0,7.0,sbp_bin1,0.25081082951392286,0.03765721710536636,0.0046876020108376285
ecdf,1.0,7.0,sbp_bin2,0.15562895446615477,0.035205323993235164,0.006670523632952598
ecdf,1.0,7.0,sbp_bin3,0.12592259790097493,0.03464003487431177,0.037433904042900534
ecdf,1.0,7.0,sbp_bin4,0.1406197516981189,0.03660522991914748,0.0030231761822376037
ecdf,1.0,7.0,sbp_bin5,0.10092852678980957,0.030466060009979923,0.0038065980540028933
ecdf,1.0,7.0,sbp_bin6,0.07669183412861413,0.03436550463419377,0.0035656832392399716
ecdf,1.0,7.0,sbp_bin7,0.0693692666032496,0.03386257843150169,0.002699113701208038
ecdf,1.0,7.0,sbp_bin8,0.11620916188775554,0.021965445816314932,0.06971697885977457
ecdf,1.0,7.0,sbp_bin9,0.11250000367072832,0.022393795457114715,0.016417153956886282
ecdf,1.0,7.0,sbp_bin10,0.10038244862943368,0.020118583350659098,0.039828784743424245
ecdf,1.0,7.0,dbp_bin1,0.21985127888970823,0.0617355024252485,0.005882352941176462
ecdf,1.0,7.0,dbp_bin2,0.09759182863444171,0.03376142915693221,0.0024817062794259513
ecdf,1.0,7.0,dbp_bin3,0.02523819148004569,0.031324831646356244,0.09092193116538456
ecdf,1.0,7.0,dbp_bin4,0.1045483627739866,0.03292998324107452,0.013714390246927294
ecdf,1.0,7.0,dbp_bin5,0.09070622938262707,0.016031722110017757,0.002081956378056843
ecdf,1.0,7.0,dbp_bin6,0.07929462990497749,0.02669389469862965,0.0024969029005937893
ecdf,1.0,7.0,dbp_bin7,0.07526559480589512,0.031210577547635968,0.0022354039655077683
ecdf,1.0,7.0,dbp_bin8,0.05764080312232245,0.022426954934663654,0.002047847602038917
ecdf,1.0,7.0,dbp_bin9,0.07544357834916293,0.026447776481151087,0.03771568044924474
ecdf,1.0,7.0,dbp_bin10,0.09068521448259159,0.03875248258450262,0.0024356536467263056
ecdf,1.0,8.0,sbp_bin1,0.2475237348004674,0.037909629250933934,0.006084742443037146
ecdf,1.0,8.0,sbp_bin2,0.15821010398291258,0.03548530622462047,0.003048994533874927
ecdf,1.0,8.0,sbp_bin3,0.11689337312981596,0.029296582926667376,0.010256669512725004
ecdf,1.0,8.0,sbp_bin4,0.13746210053125452,0.03603461451329895,0.0035368007497116618
ecdf,1.0,8.0,sbp_bin5,0.10063216637041061,0.030398863203344863,0.0019367550941945394
ecdf,1.0,8.0,sbp_bin6,0.080959609109161,0.03596920243038713,0.008018500478920693
ecdf,1.0,8.0,sbp_bin7,0.07153944368560239,0.03773142016098402,0.04694339529682723
ecdf,1.0,8.0,sbp_bin8,0.11569857628103208,0.017227028143789885,0.0032764955588056965
ecdf,1.0,8.0,sbp_bin9,0.11611365107526073,0.028378138704211985,0.05479141179658299
ecdf,1.0,8.0,sbp_bin10,0.10648015598035943,0.020638737137263278,0.042985623459302756
ecdf,1.0,8.0,dbp_bin1,0.22822828778224025,0.06223866498066224,0.009925332362046978
ecdf,1.0,8.0,dbp_bin2,0.10242864604829682,0.03403068865550006,0.007365704237336211
ecdf,1.0,8.0,dbp_bin3,0.026975789343010148,0.03376719351759328,0.06638699454653378
ecdf,1.0,8.0,dbp_bin4,0.10395787137342949,0.03140728943358557,0.006573464300331138
ecdf,1.0,8.0,dbp_bin5,0.09120810684156033,0.02501355058632623,0.13677101039889378
ecdf,1.0,8.0,dbp_bin6,0.08502041394361215,0.027302782439112345,0.00732154299628348
ecdf,1.0,8.0,dbp_bin7,0.07793981929005411,0.031500133693851746,0.004722542611815969
ecdf,1.0,8.0,dbp_bin8,0.07502972990740098,0.024899532215418525,0.02357352476094771
ecdf,1.0,8.0,dbp_bin9,0.07968582349511344,0.028090856611128822,0.04690799719264912
ecdf,1.0,8.0,dbp_bin10,0.09323264419637489,0.03854081516875684,0.003919490424680738
ecdf,1.0,9.0,sbp_bin1,0.2560797356806751,0.038475867875417305,0.004785532414963781
ecdf,1.0,9.0,sbp_bin2,0.16454283905211686,0.03475950010468339,0.013054120767375506
ecdf,1.0,9.0,sbp_bin3,0.11505425404630232,0.033168071004797704,0.043407293941369385
ecdf,1.0,9.0,sbp_bin4,0.1434728642139962,0.03724882514214014,0.0022094867358708145
ecdf,1.0,9.0,sbp_bin5,0.10370047158726947,0.030625863980867765,0.0022066217135421292
ecdf,1.0,9.0,sbp_bin6,0.09441228574947169,0.03528201505026576,0.04235853474516712
ecdf,1.0,9.0,sbp_bin7,0.07179453572742966,0.03419880172090196,0.004230407333211925
ecdf,1.0,9.0,sbp_bin8,0.13745619991555347,0.022043814598429218,0.04347838278116882
ecdf,1.0,9.0,sbp_bin9,0.11219456499955605,0.024921180113532896,0.019205534808880747
ecdf,1.0,9.0,sbp_bin10,0.09041951020096206,0.021119871255678328,0.00250808512563041
