method,imp_id,syn_id,cosine_mean,cosine_std,js_mean,js_std,wasserstein_mean,wasserstein_std,ds_idx
ctgan,2.0,9.0,0.11281431335766834,0.04077278322856732,0.035135348173219186,0.007458866247465672,0.0707557148590465,0.061264496876205346,19
ctgan,2.0,10.0,0.11307479945899328,0.040393941070780474,0.0358879792582001,0.006739546212089591,0.07183838432097558,0.061756977986919905,20
ctgan,3.0,1.0,0.11223282649077297,0.041953241734261335,0.035865814328944576,0.008169537183878703,0.07051897917330333,0.06445794655079015,21
ctgan,3.0,2.0,0.1101239778491333,0.04156572580886411,0.036173072479864524,0.007080386523623621,0.07601977820223202,0.06537095761571364,22
ctgan,3.0,3.0,0.11097598651440654,0.0410701046024943,0.036234788390582126,0.007652965072825371,0.07388355593949726,0.06913182991251007,23
ctgan,3.0,4.0,0.11344476534505643,0.04425939437826478,0.03584403353236093,0.008024140347465292,0.06926416229614957,0.06915528664603393,24
ctgan,3.0,5.0,0.11513285416145289,0.04488229317136726,0.03610090252784756,0.007729196244746014,0.07370032715393457,0.0739964191895917,25
ctgan,3.0,6.0,0.11382029249949104,0.0432968461835035,0.03563632990840773,0.00757209360276453,0.07160598075924236,0.06249241899488979,26
ctgan,3.0,7.0,0.11356423559056894,0.0430428291542848,0.035898984386786806,0.007733828805385144,0.07012053519286068,0.0634735731083248,27
ctgan,3.0,8.0,0.11300772217448847,0.04514600022076319,0.03599243464714765,0.007867854655756403,0.07681937040390574,0.07279693887646656,28
ctgan,3.0,9.0,0.11261442830642558,0.04367357185507563,0.03590043769226875,0.007532058069660781,0.07704701289498024,0.07398942872274696,29
ctgan,3.0,10.0,0.11239697118601122,0.043148883023740044,0.03593487673370989,0.008019540013830075,0.07229423683452016,0.06667721713335877,30
ctgan,4.0,1.0,0.11127133188233104,0.03610476199502403,0.03617782867896272,0.007862087915836561,0.07556360758107794,0.05940900462821434,31
ctgan,4.0,2.0,0.10902194008216241,0.03529476438481406,0.03603351415142368,0.008083816844957185,0.07347868726249333,0.060695014488903194,32
ctgan,4.0,3.0,0.10993485407811507,0.03373064485683529,0.036218235689987964,0.007626493355159687,0.07404425676906459,0.06124775271609738,33
ctgan,4.0,4.0,0.11029568655989339,0.03596217978071714,0.03614364518309178,0.00786291684693313,0.07758084066285499,0.056769109358213825,34
ctgan,4.0,5.0,0.1105553340876932,0.0374110677112275,0.036710551466469024,0.007743686104279745,0.07607765534547303,0.06022672093532277,35
ctgan,4.0,6.0,0.11141412138373566,0.03636813423903092,0.036228807524508626,0.007670943657351194,0.0757133917181316,0.056749018971299754,36
ctgan,4.0,7.0,0.11235395849929501,0.03655262055452207,0.03678099836710367,0.007865397552993814,0.06958402478505032,0.06051617378993952,37
ctgan,4.0,8.0,0.11042382310495517,0.03440161403470508,0.03649487743314002,0.007870077413490034,0.07409305956141993,0.05614826859936414,38
ctgan,4.0,9.0,0.11172842560398757,0.035294407619655424,0.0361028926590233,0.007823513637506874,0.0774171649040771,0.06124694096363582,39
ctgan,4.0,10.0,0.10932055597298378,0.03579007668522954,0.03619296235280857,0.00798595373153328,0.0715104031795735,0.05866215513774891,40
ctgan,5.0,1.0,0.11344169465794782,0.04024444664107644,0.03667838700213869,0.007775804762394998,0.06396942361939947,0.057379988893957845,41
ctgan,5.0,2.0,0.1125830556369668,0.04090025350849791,0.03625354908411297,0.007885051499161829,0.07110600002087614,0.060766798056438406,42
ctgan,5.0,3.0,0.11628161040601655,0.043549727334661566,0.03647672878946591,0.008049582961014996,0.07008481391208375,0.06029249841299107,43
